Date,Avg T,StDev T,Avg DP,StDev DP
1/1/10 12:00 AM,7.82,1.32,4.11,0.666216858
1/1/10 1:00 AM,7.82,1.33,4.11,0.669237927
1/1/10 2:00 AM,7.82,1.33,4.10,0.672503646
1/1/10 3:00 AM,7.81,1.33,4.10,0.676899344
1/1/10 4:00 AM,7.81,1.34,4.10,0.681816702
1/1/10 5:00 AM,7.81,1.34,4.09,0.687354054
1/1/10 6:00 AM,7.80,1.34,4.09,0.693533794
1/1/10 7:00 AM,7.80,1.35,4.09,0.699519245
1/1/10 8:00 AM,7.80,1.35,4.08,0.705722368
1/1/10 9:00 AM,7.79,1.36,4.08,0.710789462
1/1/10 10:00 AM,7.79,1.36,4.07,0.713172005
1/1/10 11:00 AM,7.79,1.36,4.07,0.713661533
1/1/10 12:00 PM,7.79,1.36,4.07,0.712691105
1/1/10 1:00 PM,7.78,1.35,4.06,0.710892379
1/1/10 2:00 PM,7.78,1.35,4.06,0.708635601
1/1/10 3:00 PM,7.78,1.35,4.06,0.705606321
1/1/10 4:00 PM,7.78,1.35,4.06,0.70305598
1/1/10 5:00 PM,7.78,1.35,4.05,0.701161466
1/1/10 6:00 PM,7.78,1.34,4.05,0.699517814
1/1/10 7:00 PM,7.78,1.34,4.05,0.697900171
1/1/10 8:00 PM,7.77,1.34,4.04,0.69687508
1/1/10 9:00 PM,7.77,1.34,4.04,0.696664756
1/1/10 10:00 PM,7.77,1.34,4.04,0.697269937
1/1/10 11:00 PM,7.77,1.35,4.03,0.698688504
1/2/10 12:00 AM,7.76,1.35,4.03,0.700639429
1/2/10 1:00 AM,7.76,1.35,4.03,0.703654222
1/2/10 2:00 AM,7.76,1.35,4.02,0.707223552
1/2/10 3:00 AM,7.75,1.36,4.02,0.711611297
1/2/10 4:00 AM,7.75,1.36,4.01,0.716519604
1/2/10 5:00 AM,7.75,1.36,4.01,0.722036011
1/2/10 6:00 AM,7.74,1.37,4.01,0.728182056
1/2/10 7:00 AM,7.74,1.37,4.00,0.734147871
1/2/10 8:00 AM,7.74,1.38,4.00,0.740332278
1/2/10 9:00 AM,7.73,1.38,4.00,0.745025249
1/2/10 10:00 AM,7.73,1.38,3.99,0.746939949
1/2/10 11:00 AM,7.73,1.38,3.99,0.74728177
1/2/10 12:00 PM,7.73,1.38,3.98,0.746235279
1/2/10 1:00 PM,7.73,1.38,3.98,0.744388997
1/2/10 2:00 PM,7.72,1.38,3.98,0.742186361
1/2/10 3:00 PM,7.72,1.37,3.98,0.739187075
1/2/10 4:00 PM,7.72,1.37,3.97,0.736651114
1/2/10 5:00 PM,7.72,1.37,3.97,0.734509327
1/2/10 6:00 PM,7.72,1.37,3.97,0.732587104
1/2/10 7:00 PM,7.72,1.37,3.96,0.730705719
1/2/10 8:00 PM,7.71,1.37,3.96,0.729406777
1/2/10 9:00 PM,7.71,1.37,3.96,0.728966812
1/2/10 10:00 PM,7.71,1.37,3.95,0.729152024
1/2/10 11:00 PM,7.71,1.37,3.95,0.730116028
1/3/10 12:00 AM,7.70,1.37,3.95,0.731799599
1/3/10 1:00 AM,7.70,1.37,3.94,0.734514852
1/3/10 2:00 AM,7.70,1.38,3.94,0.737805847
1/3/10 3:00 AM,7.70,1.38,3.94,0.741919994
1/3/10 4:00 AM,7.69,1.38,3.93,0.74690858
1/3/10 5:00 AM,7.69,1.39,3.93,0.752137103
1/3/10 6:00 AM,7.69,1.39,3.92,0.757978886
1/3/10 7:00 AM,7.68,1.40,3.92,0.763753551
1/3/10 8:00 AM,7.68,1.40,3.91,0.769666541
1/3/10 9:00 AM,7.67,1.41,3.91,0.774087158
1/3/10 10:00 AM,7.67,1.41,3.91,0.775963224
1/3/10 11:00 AM,7.67,1.41,3.90,0.776046332
1/3/10 12:00 PM,7.67,1.41,3.90,0.774797711
1/3/10 1:00 PM,7.67,1.40,3.90,0.772461677
1/3/10 2:00 PM,7.66,1.40,3.89,0.769646466
1/3/10 3:00 PM,7.66,1.40,3.89,0.766002868
1/3/10 4:00 PM,7.66,1.40,3.89,0.762579751
1/3/10 5:00 PM,7.66,1.40,3.88,0.759889489
1/3/10 6:00 PM,7.66,1.39,3.88,0.757445237
1/3/10 7:00 PM,7.66,1.39,3.88,0.755283582
1/3/10 8:00 PM,7.65,1.39,3.87,0.753516661
1/3/10 9:00 PM,7.65,1.39,3.87,0.752823774
1/3/10 10:00 PM,7.65,1.39,3.86,0.75299072
1/3/10 11:00 PM,7.64,1.39,3.86,0.754016926
1/4/10 12:00 AM,7.64,1.39,3.85,0.755606315
1/4/10 1:00 AM,7.64,1.40,3.85,0.758249195
1/4/10 2:00 AM,7.64,1.40,3.85,0.761487939
1/4/10 3:00 AM,7.63,1.40,3.84,0.765619983
1/4/10 4:00 AM,7.63,1.41,3.84,0.77100122
1/4/10 5:00 AM,7.62,1.41,3.83,0.776639774
1/4/10 6:00 AM,7.62,1.42,3.83,0.782911667
1/4/10 7:00 AM,7.62,1.42,3.82,0.789044183
1/4/10 8:00 AM,7.61,1.43,3.82,0.795813726
1/4/10 9:00 AM,7.61,1.43,3.82,0.800529813
1/4/10 10:00 AM,7.61,1.43,3.81,0.802811756
1/4/10 11:00 AM,7.60,1.43,3.81,0.80297869
1/4/10 12:00 PM,7.60,1.43,3.80,0.801538481
1/4/10 1:00 PM,7.60,1.43,3.80,0.799165483
1/4/10 2:00 PM,7.60,1.43,3.79,0.79594866
1/4/10 3:00 PM,7.59,1.42,3.79,0.7921526
1/4/10 4:00 PM,7.59,1.42,3.79,0.78858862
1/4/10 5:00 PM,7.59,1.42,3.78,0.785799396
1/4/10 6:00 PM,7.59,1.42,3.78,0.78328211
1/4/10 7:00 PM,7.59,1.42,3.78,0.780829894
1/4/10 8:00 PM,7.58,1.42,3.77,0.779048654
1/4/10 9:00 PM,7.58,1.42,3.77,0.778197176
1/4/10 10:00 PM,7.58,1.42,3.76,0.778429837
1/4/10 11:00 PM,7.57,1.42,3.76,0.779370218
1/5/10 12:00 AM,7.57,1.42,3.75,0.781090785
1/5/10 1:00 AM,7.57,1.42,3.75,0.783900873
